RH_X,RH_Y,RH_X_Delta,RH_Y_Delta,LH_X,LH_Y,LH_X_Delta,LH_Y_Delta,RF_X,RF_Y,RF_X_Delta,RF_Y_Delta,LF_X,LF_Y,LF_X_Delta,LF_Y_Delta,Pos_X_in,Pos_Y_in,Pos_X_px,Pos_Y_px,Width_in,Height_in,Width_px,Height_px
248,312,-84,-34,248,312,-26,0,287,389,-6,-11,238,390,0,0,0.97,1.27,233,305,0.46,0.44,110,106
248,312,0,0,210,308,-38,-4,287,389,0,0,238,390,0,0,0.98,1.18,235,283,0.28,0.52,67,125
248,312,0,0,210,308,0,0,225,395,-62,6,130,340,-108,-50,0.9,1.15,216,276,0.34,0.55,82,132
248,312,0,0,190,290,-20,-18,251,389,26,-6,130,340,0,0,0.56,1.15,134,276,0.53,0.53,127,127
248,312,0,0,190,290,0,0,230,367,-21,-22,130,340,0,0,0.56,1.14,134,274,0.56,0.5,134,120
248,312,0,0,190,290,0,0,230,319,0,-48,130,340,0,0,0.56,1.12,134,269,0.54,0.45,130,108
213,280,-35,-32,190,290,0,0,230,319,0,0,130,340,0,0,0.54,1.05,130,252,0.57,0.39,137,94
213,280,0,0,190,290,0,0,213,300,-17,-19,130,340,0,0,0.56,0.98,134,235,0.48,0.46,115,110
213,280,0,0,190,290,0,0,213,300,0,0,125,295,-5,-45,0.57,0.98,137,235,0.36,0.44,86,106
193,251,-20,-29,182,251,-8,-39,213,300,0,0,125,295,0,0,0.53,1.01,127,242,0.41,0.3,98,72
193,231,0,-20,182,251,0,0,165,281,-48,-19,125,295,0,0,0.53,0.98,127,235,0.45,0.29,108,70
193,231,0,0,182,251,0,0,165,281,0,0,144,281,19,-14,0.6,0.92,144,221,0.31,0.31,74,74
230,230,37,-1,182,251,0,0,165,281,0,0,144,281,0,0,0.58,0.94,139,226,0.43,0.3,103,72
230,230,0,0,182,251,0,0,165,281,0,0,180,270,36,-11,0.66,0.91,158,218,0.29,0.27,70,65
230,230,0,0,182,251,0,0,200,247,35,-34,180,270,0,0,0.71,0.87,170,209,0.24,0.29,58,70
250,215,20,-15,200,230,18,-21,200,247,0,0,180,270,0,0,0.74,0.83,178,199,0.33,0.33,79,79
250,215,0,0,200,230,0,0,220,230,20,-17,200,240,20,-30,0.78,0.84,187,202,0.28,0.23,67,55
250,215,0,0,250,190,50,-40,220,230,0,0,200,240,0,0,0.85,0.76,204,182,0.27,0.27,65,65
290,190,40,-25,250,190,0,0,265,220,45,-10,225,220,25,-20,0.94,0.65,226,156,0.3,0.32,72,77
290,190,0,0,250,190,0,0,265,220,0,0,225,220,0,0,0.94,0.65,226,156,0.33,0.32,79,77
272,190,-18,0,250,190,0,0,265,216,0,-4,225,220,0,0,0.94,0.63,226,151,0.41,0.34,98,82
284,177,12,-13,250,190,0,0,265,216,0,0,225,220,0,0,0.95,0.58,228,139,0.33,0.4,79,96
291,150,7,-27,250,190,0,0,265,216,0,0,225,220,0,0,0.95,0.61,228,146,0.31,0.37,74,89
291,150,0,0,250,190,0,0,265,216,0,0,260,200,35,-20,1.07,0.59,257,142,0.2,0.37,48,89
300,180,9,30,250,190,0,0,265,216,0,0,260,200,0,0,1.03,0.63,247,151,0.26,0.33,62,79
300,180,0,0,260,164,10,-26,280,203,15,-13,260,200,0,0,1.05,0.65,252,156,0.24,0.27,58,65
300,180,0,0,260,164,0,0,280,203,0,0,260,200,0,0,1.08,0.63,259,151,0.23,0.25,55,60
310,170,10,-10,260,164,0,0,311,180,31,-23,260,200,0,0,1.09,0.59,262,142,0.3,0.25,72,60
330,160,20,-10,320,160,60,-4,311,180,0,0,290,180,30,-20,1.2,0.54,288,130,0.23,0.26,55,62
330,160,0,0,302,146,-18,-14,311,180,0,0,300,180,10,0,1.23,0.57,295,137,0.19,0.23,46,55
318,142,-12,-18,332,161,30,15,311,180,0,0,278,177,-22,-3,1.16,0.51,278,122,0.27,0.28,65,67
318,142,0,0,332,161,0,0,304,170,-7,-10,278,177,0,0,1.13,0.49,271,118,0.3,0.3,72,72
318,142,0,0,291,146,-41,-15,304,170,0,0,278,177,0,0,1.1,0.41,264,98,0.26,0.28,62,67
302,150,-16,8,291,146,0,0,304,170,0,0,278,177,0,0,1.1,0.4,264,96,0.23,0.32,55,77
